game_date,player_id,game_time,added_ts
2023-05-01,andy,0:13,2023-05-17 12:01:09
2023-05-01,acowinthecrowd,0:15,2023-05-17 12:01:09
2023-05-01,matt,0:18,2023-05-17 12:01:09
2023-05-01,mbbananas,0:18,2023-05-17 12:01:09
2023-05-01,mama56,0:20,2023-05-17 12:01:09
2023-05-01,throoper,0:20,2023-05-17 12:01:09
2023-05-01,jeskaeli,0:26,2023-05-17 12:01:09
2023-05-01,croasus,0:28,2023-05-17 12:01:09
2023-05-01,kyle,0:34,2023-05-17 12:01:09
2023-05-01,evanat,0:39,2023-05-17 12:01:09
2023-05-01,jim,0:39,2023-05-17 12:01:09
2023-05-01,lando,0:42,2023-05-17 12:01:09
2023-05-01,aromatt,0:43,2023-05-17 12:01:09
2023-05-01,mossy_turtleneck,0:47,2023-05-17 12:01:09
2023-05-02,matt,0:17,2023-05-17 12:01:09
2023-05-02,mbbananas,0:19,2023-05-17 12:01:09
2023-05-02,andy,0:22,2023-05-17 12:01:09
2023-05-02,throoper,0:30,2023-05-17 12:01:09
2023-05-02,croasus,0:31,2023-05-17 12:01:09
2023-05-02,aromatt,0:34,2023-05-17 12:01:09
2023-05-02,evanat,0:34,2023-05-17 12:01:09
2023-05-02,acowinthecrowd,0:37,2023-05-17 12:01:09
2023-05-02,lando,0:45,2023-05-17 12:01:09
2023-05-02,jeskaeli,0:50,2023-05-17 12:01:09
2023-05-02,tuckle,0:58,2023-05-17 12:01:09
2023-05-02,mama56,0:59,2023-05-17 12:01:09
2023-05-02,jim,1:20,2023-05-17 12:01:09
2023-05-02,mickey,1:36,2023-05-17 12:01:09
2023-05-03,throoper,0:19,2023-05-17 12:01:09
2023-05-03,mbbananas,0:25,2023-05-17 12:01:09
2023-05-03,matt,0:26,2023-05-17 12:01:09
2023-05-03,jeskaeli,0:29,2023-05-17 12:01:09
2023-05-03,croasus,0:30,2023-05-17 12:01:09
2023-05-03,mama56,0:31,2023-05-17 12:01:09
2023-05-03,kyle,0:33,2023-05-17 12:01:09
2023-05-03,tuckle,0:34,2023-05-17 12:01:09
2023-05-03,acowinthecrowd,0:35,2023-05-17 12:01:09
2023-05-03,lando,0:36,2023-05-17 12:01:09
2023-05-03,mossy_turtleneck,0:36,2023-05-17 12:01:09
2023-05-03,andy,0:44,2023-05-17 12:01:09
2023-05-03,aromatt,1:00,2023-05-17 12:01:09
2023-05-03,mickey,1:06,2023-05-17 12:01:09
2023-05-03,evanat,1:08,2023-05-17 12:01:09
2023-05-03,jim,1:13,2023-05-17 12:01:09
2023-05-04,matt,0:20,2023-05-17 12:01:09
2023-05-04,mbbananas,0:21,2023-05-17 12:01:09
2023-05-04,acowinthecrowd,0:22,2023-05-17 12:01:09
2023-05-04,aromatt,0:27,2023-05-17 12:01:09
2023-05-04,croasus,0:28,2023-05-17 12:01:09
2023-05-04,throoper,0:30,2023-05-17 12:01:09
2023-05-04,lando,0:35,2023-05-17 12:01:09
2023-05-04,mama56,0:43,2023-05-17 12:01:09
2023-05-04,jeskaeli,0:44,2023-05-17 12:01:09
2023-05-04,evanat,0:48,2023-05-17 12:01:09
2023-05-04,kyle,0:48,2023-05-17 12:01:09
2023-05-04,tuckle,0:50,2023-05-17 12:01:09
2023-05-04,mossy_turtleneck,0:51,2023-05-17 12:01:09
2023-05-04,andy,0:56,2023-05-17 12:01:09
2023-05-04,mickey,1:09,2023-05-17 12:01:09
2023-05-04,jim,1:50,2023-05-17 12:01:09
2023-05-05,throoper,0:22,2023-05-17 12:01:09
2023-05-05,matt,0:32,2023-05-17 12:01:09
2023-05-05,andy,0:34,2023-05-17 12:01:09
2023-05-05,acowinthecrowd,0:37,2023-05-17 12:01:09
2023-05-05,croasus,0:38,2023-05-17 12:01:09
2023-05-05,mbbananas,0:38,2023-05-17 12:01:09
2023-05-05,aromatt,0:49,2023-05-17 12:01:09
2023-05-05,jeskaeli,0:50,2023-05-17 12:01:09
2023-05-05,evanat,0:51,2023-05-17 12:01:09
2023-05-05,mama56,0:53,2023-05-17 12:01:09
2023-05-05,kyle,0:55,2023-05-17 12:01:09
2023-05-05,jim,1:00,2023-05-17 12:01:09
2023-05-05,tuckle,1:04,2023-05-17 12:01:09
2023-05-05,lando,1:39,2023-05-17 12:01:09
2023-05-05,mossy_turtleneck,1:45,2023-05-17 12:01:09
2023-05-05,mickey,2:00,2023-05-17 12:01:09
2023-05-06,matt,0:51,2023-05-17 12:01:09
2023-05-06,throoper,0:51,2023-05-17 12:01:09
2023-05-06,mbbananas,0:57,2023-05-17 12:01:09
2023-05-06,acowinthecrowd,1:12,2023-05-17 12:01:09
2023-05-06,jeskaeli,1:13,2023-05-17 12:01:09
2023-05-06,croasus,1:19,2023-05-17 12:01:09
2023-05-06,andy,1:27,2023-05-17 12:01:09
2023-05-06,tuckle,1:44,2023-05-17 12:01:09
2023-05-06,evanat,1:49,2023-05-17 12:01:09
2023-05-06,lando,1:53,2023-05-17 12:01:09
2023-05-06,mickey,2:02,2023-05-17 12:01:09
2023-05-06,mossy_turtleneck,2:02,2023-05-17 12:01:09
2023-05-06,aromatt,2:33,2023-05-17 12:01:09
2023-05-06,mama56,2:45,2023-05-17 12:01:09
2023-05-06,kyle,2:52,2023-05-17 12:01:09
2023-05-06,jim,3:59,2023-05-17 12:01:09
2023-05-07,mbbananas,0:16,2023-05-17 12:01:09
2023-05-07,matt,0:19,2023-05-17 12:01:09
2023-05-07,aromatt,0:22,2023-05-17 12:01:09
2023-05-07,croasus,0:26,2023-05-17 12:01:09
2023-05-07,mama56,0:30,2023-05-17 12:01:09
2023-05-07,throoper,0:34,2023-05-17 12:01:09
2023-05-07,kyle,0:35,2023-05-17 12:01:09
2023-05-07,andy,0:39,2023-05-17 12:01:09
2023-05-07,jeskaeli,0:40,2023-05-17 12:01:09
2023-05-07,acowinthecrowd,0:43,2023-05-17 12:01:09
2023-05-07,mickey,0:57,2023-05-17 12:01:09
2023-05-07,mossy_turtleneck,0:58,2023-05-17 12:01:09
2023-05-07,lando,1:03,2023-05-17 12:01:09
2023-05-07,jim,1:55,2023-05-17 12:01:09
2023-05-07,evanat,3:59,2023-05-17 12:01:09
2023-05-08,throoper,0:19,2023-05-17 12:01:09
2023-05-08,acowinthecrowd,0:21,2023-05-17 12:01:09
2023-05-08,aromatt,0:21,2023-05-17 12:01:09
2023-05-08,matt,0:23,2023-05-17 12:01:09
2023-05-08,mbbananas,0:26,2023-05-17 12:01:09
2023-05-08,tuckle,0:30,2023-05-17 12:01:09
2023-05-08,kyle,0:33,2023-05-17 12:01:09
2023-05-08,andy,0:37,2023-05-17 12:01:09
2023-05-08,mama56,0:41,2023-05-17 12:01:09
2023-05-08,croasus,0:43,2023-05-17 12:01:09
2023-05-08,evanat,0:43,2023-05-17 12:01:09
2023-05-08,lando,0:48,2023-05-17 12:01:09
2023-05-08,mickey,0:48,2023-05-17 12:01:09
2023-05-08,jim,1:05,2023-05-17 12:01:09
2023-05-08,mossy_turtleneck,1:06,2023-05-17 12:01:09
2023-05-08,jeskaeli,1:09,2023-05-17 12:01:09
2023-05-09,acowinthecrowd,0:20,2023-05-17 12:01:09
2023-05-09,andy,0:20,2023-05-17 12:01:09
2023-05-09,matt,0:22,2023-05-17 12:01:09
2023-05-09,croasus,0:26,2023-05-17 12:01:09
2023-05-09,throoper,0:26,2023-05-17 12:01:09
2023-05-09,lando,0:28,2023-05-17 12:01:09
2023-05-09,mbbananas,0:28,2023-05-17 12:01:09
2023-05-09,mossy_turtleneck,0:29,2023-05-17 12:01:09
2023-05-09,mama56,0:37,2023-05-17 12:01:09
2023-05-09,mickey,0:37,2023-05-17 12:01:09
2023-05-09,tuckle,0:38,2023-05-17 12:01:09
2023-05-09,kyle,0:39,2023-05-17 12:01:09
2023-05-09,aromatt,0:41,2023-05-17 12:01:09
2023-05-09,evanat,0:44,2023-05-17 12:01:09
2023-05-09,jeskaeli,0:57,2023-05-17 12:01:09
2023-05-09,jim,1:19,2023-05-17 12:01:09
2023-05-10,acowinthecrowd,0:14,2023-05-17 12:01:09
2023-05-10,mbbananas,0:17,2023-05-17 12:01:09
2023-05-10,croasus,0:18,2023-05-17 12:01:09
2023-05-10,throoper,0:25,2023-05-17 12:01:09
2023-05-10,aromatt,0:26,2023-05-17 12:01:09
2023-05-10,matt,0:27,2023-05-17 12:01:09
2023-05-10,andy,0:28,2023-05-17 12:01:09
2023-05-10,kyle,0:28,2023-05-17 12:01:09
