youtube_url,youtube_title,added_by
https://youtu.be/vDWFq6BHsac,"Organized Konfusion ""Stress"" [HD]",SeussMan
https://youtu.be/T7Fy5w2klbg,Pharoahe Monch - Simon Says [High Quality],svendiamond
https://youtu.be/JHQMqZP4tZk,"Mos Def, Nate Dogg & Pharoah Monch - Oh No (Official Video)",SeussMan
https://youtu.be/aFUPxtpZiwA,Astronomy (8th Light),svendiamond
https://youtu.be/01yUzXQctcM,Mos Def - Ms. Fat Booty (Official Video) [Explicit],SeussMan
https://www.youtube.com/watch?v=qjmVrSn8K9U,May Store,svendiamond
https://www.youtube.com/watch?v=vtY8pM-H65c,JID - 151 Rum,SeussMan
https://youtu.be/0_63FMLXOa4,Diamonds & Wood,svendiamond
https://youtu.be/kCb40h_gI3I,No Tears,SeussMan
https://youtu.be/bBby2BMzgTQ,cella dwellas-advance to boardwalk,svendiamond
https://www.youtube.com/watch?v=6xN3KOY2kbg&t=1s,Quincy Jones  - Summer In The City 1973,svendiamond
https://youtu.be/a-mAK3uB2_0,The Pharcyde - Passin' Me By (Official Music Video),SeussMan
https://youtu.be/3ZYECRGFtek,Ill Vibe (feat. Q-Tip),svendiamond
https://www.youtube.com/watch?v=k6mdRv0ZdR8,Pete Rock & CL Smooth - They Reminisce Over You (T.R.O.Y.) (Official Video),SeussMan
https://youtu.be/fYYJ6HFqlLI,Capone-N-Noreaga - T.O.N.Y. (Top Of New York),svendiamond
https://youtu.be/hP52ErXwrh0,Up North Trip,SeussMan
https://youtu.be/Uuq6HgKgEFQ,D12 - Purple Hills (Official Music Video),svendiamond
https://www.youtube.com/watch?v=h-3CmKofKTU,Eminem - Rock Bottom [HD],SeussMan
https://youtu.be/R0IUR4gkPIE,Wu-Tang Clan - Protect Ya Neck (Official Video),svendiamond
https://youtu.be/6bqZI5pqnpI,Gravediggaz - Constant Elevation,SeussMan
https://youtu.be/csT98gZ-J80,Uknowhowwedu,svendiamond
https://youtu.be/bTSTgVT3c8g,A Million And 1 Buddah Spots,SeussMan
https://youtu.be/QznoTgWVo_E,Jeru The Damaja - Come Clean,svendiamond
https://youtu.be/k8-xws9hyMI,Rock Co.Kane Flow (feat. MF DOOM),SeussMan
